Holdings details

Total Stock Market ETF (VTI)


Equity,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BKP7287,Truist Financial Corp,TFC,0.09%,Regional Banks,US,---,"$1,851,670,652.76","40,500,233"
,2138158,Sempra,SRE,0.09%,Multi-Utilities,US,---,"$1,847,041,055.20","20,527,240"
,B3K3L40,Marathon Petroleum Corp,MPC,0.09%,Oil & Gas Refining & Marketing,US,---,"$1,843,415,086.92","9,564,258"
,B95WG16,Zoetis Inc,ZTS,0.09%,Pharmaceuticals,US,---,"$1,837,661,997.68","12,559,199"
,2240202,Cummins Inc,CMI,0.09%,Construction Machinery & Heavy Transportation Equipment,US,---,"$1,831,031,392.32","4,335,136"
,2812452,Simon Property Group Inc,SPG,0.09%,Retail REITs,US,---,"$1,829,192,277.85","9,746,855"
,B665KZ5,General Motors Co,GM,0.09%,Automobile Manufacturers,US,---,"$1,825,777,378.88","29,945,504"
,BL3LWS8,Vertiv Holdings Co,VRT,0.09%,Electrical Components & Equipment,US,---,"$1,813,691,117.56","12,022,346"
,2795393,Cencora Inc,COR,0.09%,Health Care Distributors,US,---,"$1,808,256,700.98","5,785,866"
,BK9DTN5,L3Harris Technologies Inc,LHX,0.09%,Aerospace & Defense,US,---,"$1,797,556,523.56","5,885,716"
,2019952,Allstate Corp/The,ALL,0.09%,Property & Casualty Insurance,US,---,"$1,779,837,875.10","8,291,814"
,2210614,Marriott International Inc/MD,MAR,0.09%,"Hotels, Resorts & Cruise Lines",US,---,"$1,778,901,562.80","6,830,370"
,2352118,Freeport-McMoRan Inc,FCX,0.09%,Copper,US,---,"$1,773,081,958.74","45,208,617"
,2332262,Fastenal Co,FAST,0.09%,Trading Companies & Distributors,US,---,"$1,770,691,105.12","36,107,078"
,2730190,Regeneron Pharmaceuticals Inc,REGN,0.09%,Biotechnology,US,---,"$1,752,720,413.94","3,117,222"
,2724193,Realty Income Corp,O,0.09%,Retail REITs,US,---,"$1,747,714,810.02","28,750,038"
,B78C4Y8,Phillips 66,PSX,0.09%,Oil & Gas Refining & Marketing,US,---,"$1,729,629,639.90","12,715,995"
,B5B2106,Fortinet Inc,FTNT,0.09%,Systems Software,US,---,"$1,723,298,214.80","20,495,935"
,BN44JF6,Apollo Global Management Inc,APO,0.08%,Diversified Financial Services,US,---,"$1,690,012,462.59","12,681,117"
,2087807,Becton Dickinson & Co,BDX,0.08%,Health Care Equipment,US,---,"$1,688,311,395.51","9,020,203"
,2749602,Roper Technologies Inc,ROP,0.08%,Application Software,US,---,"$1,687,366,985.31","3,383,599"
,BDT5S35,Axon Enterprise Inc,AXON,0.08%,Aerospace & Defense,US,---,"$1,685,117,036.68","2,348,137"
,B3NQ4P8,Kinder Morgan Inc,KMI,0.08%,Oil & Gas Storage & Transportation,US,---,"$1,682,005,215.89","59,413,819"
,2041364,Valero Energy Corp,VLO,0.08%,Oil & Gas Refining & Marketing,US,---,"$1,664,716,298.70","9,777,495"
,B0X7DZ3,Chipotle Mexican Grill Inc,CMG,0.08%,Restaurants,US,---,"$1,653,678,209.27","42,196,433"
,B8K6ZD1,Workday Inc,WDAY,0.08%,Application Software,US,---,"$1,644,258,359.73","6,830,301"
,2542049,Dominion Energy Inc,D,0.08%,Multi-Utilities,US,---,"$1,643,757,548.52","26,871,956"
,2665861,PACCAR Inc,PCAR,0.08%,Construction Machinery & Heavy Transportation Equipment,US,---,"$1,624,845,660.40","16,526,095"
,2779201,Schlumberger NV,SLB,0.08%,Oil & Gas Equipment & Services,US,---,"$1,623,487,846.96","47,235,608"
,2459202,IDEXX Laboratories Inc,IDXX,0.08%,Health Care Equipment,US,---,"$1,608,440,075.06","2,517,554"
,2310194,Electronic Arts Inc,EA,0.08%,Interactive Home Entertainment,US,---,"$1,587,885,872.10","7,872,513"
,BKVD2N4,Seagate Technology Holdings PLC,STX,0.08%,"Technology Hardware, Storage & Peripherals",US,---,"$1,581,087,389.20","6,697,820"
,2142784,FedEx Corp,FDX,0.08%,Air Freight & Logistics,US,---,"$1,575,024,981.72","6,679,212"
,2746711,Ross Stores Inc,ROST,0.08%,Apparel Retail,US,---,"$1,568,493,123.75","10,292,625"
,BYQHPG3,Carvana Co,CVNA,0.08%,Automotive Retail,US,---,"$1,557,529,272.76","4,128,749"
,2654364,Cheniere Energy Inc,LNG,0.08%,Oil & Gas Storage & Transportation,US,---,"$1,543,992,250.22","6,570,739"
,BK4N0D7,Carrier Global Corp,CARR,0.07%,Building Products,US,---,"$1,518,970,860.60","25,443,398"
,BDHLTQ5,Baker Hughes Co,BKR,0.07%,Oil & Gas Equipment & Services,US,---,"$1,511,810,052.48","31,030,584"
,2614807,Xcel Energy Inc,XEL,0.07%,Electric Utilities,US,---,"$1,501,764,455.30","18,620,762"
,B6WVMH3,CBRE Group Inc,CBRE,0.07%,Real Estate Services,US,---,"$1,475,768,250.84","9,366,389"
